id,level,link,child,pid,name,ename,memo,text
204452000,7,7-710-71003-7100338-7100338004-71003380046-204452000,0,71003380046,短柱黃皮,Clausena anisum-olens,,短柱黃皮 <i>Clausena anisum-olens</i>  (Blanco) Merr.<font class=c2 ></font>
204453000,7,7-710-71003-7100338-7100338004-71003380046-204453000,0,71003380046,過山香,Clausena excavata,,過山香 <i>Clausena excavata</i>  Burm. f.<font class=c2 ></font>
418107000,7,7-710-71003-7100338-7100338004-71003380046-418107000,0,71003380046,黃皮,Clausena lansium,,黃皮 <i>Clausena lansium</i>  (Lour.) Skeels<font class=c2 > [Alien]</font>
418151000,7,7-710-71003-7100338-7100338004-71003380047-418151000,0,71003380047,圓實金柑,Fortunella japonica,,圓實金柑 <i>Fortunella japonica</i>  (Thunb.) Swingle<font class=c2 > [Alien]</font>
417802000,7,7-710-71003-7100338-7100338004-71003380047-417802000,0,71003380047,長實金柑,Fortunella margarita,,長實金柑 <i>Fortunella margarita</i>  (Lour.) Swingle<font class=c2 > [Alien]</font>
417801000,7,7-710-71003-7100338-7100338004-71003380047-417801000,0,71003380047,長壽金柑,Fortunella obovata,,長壽金柑 <i>Fortunella obovata</i>  Tanaka<font class=c2 > [Alien]</font>
204454000,7,7-710-71003-7100338-7100338004-71003380048-204454000,0,71003380048,石苓舅,Glycosmis citrifolia,,石苓舅 <i>Glycosmis citrifolia</i>  Lindl.<font class=c2 ></font>
426868000,7,7-710-71003-7100338-7100338004-71003380048-426868000,0,71003380048,長果山桔,Glycosmis parviflora erythrocarpa,,"長果山桔 <i>Glycosmis parviflora</i>  (Sims) Kurz., 1876 </i>var. <i>erythrocarpa</i> (Hayata) T.C.Ho<font class=c2 ></font>"
433854000,7,7-710-71003-7100338-7100338004-71003380048-433854000,0,71003380048,山桔,Glycosmis parviflora  parviflora,,山桔 <i>Glycosmis parviflora </i>var. <i>parviflora</i></i>  (Sims) Little<font class=c2 ></font>
204455000,7,7-710-71003-7100338-7100338004-71003380049-204455000,0,71003380049,三腳虌,Melicope pteleifolia,,三腳虌 <i>Melicope pteleifolia</i>  (Champ. ex Benth.) T.G. Hartley<font class=c2 ></font>
